city,place,review,Latitude,Longitude
Jaipur,Ajmeri Gate,"This is the entry to the Bapu bazar. It’s very noticeable from far and you can use a tuktuk to get around the place The Ajmeri Gate is a wall built more than 300 years ago provides a gateway to the old Jaipur city and the main shopping area of Jaipur which is Bapu Bazaar. When making the city tour through Jaipur we also passed this gate. Not very special for us, compared to what we already saw in other cities Southern entrance to the old town of Jaipur. I think its smaller in comparison to Chand pol but comparatively less crowded too. This attractive gate marks the southern limit of the walled city and is on the road to Ajmer. It is very decorative and has large enough secondary gates on either side to allow vehicles to pass through. It is very similar to the Sanganeri Gate... Ajmeri Gate is one of the beautiful gates of the old city of Jaipur. Unfortunately, there is usually heavy traffic there, so it's hard to appreciate it properly, but it's a place you are likely to see without making a point of it because of... The gate beautiful and is reminiscent of the Pink City of Jaipur, it is beautiful but I won't say of it as a things to do or see in Jaipur.
It is entry of the Bapu Bazaar which is a huge shopping market and one... There stands the Ajmeri Gate, in all of its glory, marking the beginning of the Pink City. The walled city has a great market, you will find delicacies like chicken, ghevar, traditional Rajasthani bedsheets, costumes, jewellery and the market that follows as you head straight... The Ajmeri gate is now much more beautiful with the renovations done, cleaner and better. Wish people learn traffic manners and with lesser honking this place which is already a land mark can be a fav tourist spot So, there are 7-9 gates in this city, but 7 major gates. Ajmeri Gate is one of the major gates in the city. It is also the 1st gate of the 4 southern gates present. The Ajmeri Gate is located near Mirza smile Road and attach of kishanpole Bazar, the old Ajmer gate is newly constructed before few days but now these are also looking the Vintage, the Ajmeri Gate connected Tonk Road Mirza Ismail Road kishanpole Bazar Agar Road...",26.91722115,75.81681843102842
Jaipur,Agape Fellowship Church,"This is very rare church in jaipur. It was quite and pins of silent place. Father of the church was also available in the church when we visited. This is one good church at Jaipur.  I visited it in summers, having lived nearby. Clean and good to see!",26.8971077,75.74336028395467
Jaipur,Akshardham Temple,"This is an architectural beauty and marvel. Once you are there you enjoy peace and tranquility and you love to be here.
Governor Amolak Rattan Kohli The carving in marble and sandstone is very intricate with chasing in gold as well in the central mandir ( temple) . There are exhibitions showing the life in  ancient India and the development of Swaminarayan religion and its philosophy of helping everybody irrespective  of... Its not big like other Akshardham temple in India but very peaceful and amazing place for everybody. Its not far from center of city. This is must place to visit if you are in Jaipur. Akshardham Temple , is temple of jai shree swami narayan bapa, very beautiful temple one must visit here Beautiful temple, wonderful architecture ...looks amazing..small restaurent is also there...u can get gujrati food here. The temple is situated in a nice and peaceful area. It is extremely well maintained. Suprisingly mobile phones as well as cameras were allowed however this is not the case in the temple at Noida. It is a very small place and has a nice... I didn't include in my sightseeing program the Akshardham temple , but by chance i did visited , and IT WAS MAGNIFICENT !  The art ,the technique ,the set up , the aura of this place was something beyond description, you need to include in... i always love to visit this place in evening when ever i get time .
One can spend 1 to 2 hours here in evening .
well maintained park and clean temple . The Akshardham temple in Jaipur is a modern temple. The temple within its compound has well laid out green spaces and also a restaurant where food can be had at reasonable rates. we found the experience of visiting the temple to be very good. The temple has marvellous stone carvings which leaves one spell bound. This has small landscape with beautiful garden, intricately & beautifully carved temple. This place is indeed very peaceful. If you are in Jaipur please don't miss to visit Akshardham Temple, Crowded Temple, but worth to visit. At this temple you will not feel that you are unwanted. There are temples for wich land was procured from Government on throw away prices in name of creating facilities for public but later on tourists were treated as unwanted intruders. At Birla temple, Jaipur... The point is... do you want to get a feeling of the culture? Then you can go with monuments / history or you can go with living culture... visiting temples and trying to understand is the second way... this temple will give you a piece... Akshardham temple is famous temple of jaipur. beautiful and well managed.nice to sit here and relax some breath.visiting during evening is amazing All of the Akshardham Temples within India are highly maintained and really beautiful one and this is also beautiful, loved to visit this Temple. I think it was as beautiful as Tajmahal, it was so crowded but for foreigners , there is a seprate line . So we don't need to wait so long. This Temple is well located in Vaishalinagar. Archetctial features are to admire for. Peaceful and full of devotion. I oftenly visit this temple whenever need peace for mind. one of the best temple dedicated to Lord Swami Narayan and is one of the most popular tourist destination. you have to take 5-6 hour time to visit everything like boat show, movie, water fountain, multiple small type of jhaki.  all are seeing in nominal... Akshar dham is a great temple. Well made. It's temple and location is very beautiful. Must definitely visit once. A tad smaller in scale and grandeur than the Akshardham Temple, Delhi, this one is also an architectural marvel. I visited in the evening after sun set and the atmosphere there was peaceful and serene even though you could see hundreds of locals and tourists... It's a nice temple nice view it's a best place to enjoy your holidays overall we all are very very happy with this tour I was visited Akshardham temple 1 year ago...it is located at vaishali nagar in Jaipur (Raj), India.

It very beautiful and cool places for visitors. The greenery of the temple ground looks very beautiful.Here is a canteen where eat a lot of food. Temple design... This is quite small as compared to the Delhi Akshardham temple, however, this is equally well designed and laid out. Gardens, cafeteria, children's play area all are there. The food at the temple restaurant is affordable and delicious. Went here for the sound and light show. Literally hundreds of people queueing, the control was with ropes to hold back the crowd and lots of shouting. We missed the 7pm show and the 8opm was in Hindi, so we enjoyed the video which was... Very good experience....really enjoyed here will recommend to other people....Thank you 
Will come Delhi next time A good architectural and religious center that has come to the city recently. It makes for a good visit given the popularity from two earlier versions and also the religious importance. Amazing architecture and even more so when you realise its hand carved and not very old. Take a guide with a good level of English with you to explain the displays under the temple. This is one of the best place in Delhi to visit. It will take nearly more than half day to visit this place. Dont miss fountain show in the evening. One of the best place to visit if you are around. Well maintained place, very peaceful, with lots of greenery around. Parking is also available. Go on a Weekday - this theme park monument is closed on Mondays. Whatever you do, do not go on a Sunday.

Akshardham is where ""tour groups"" go to see something textbook ""Indian"". In that way the Akshardham does for Indian Temples what Remix/Mashups do... Akshardham Temple is a perfect example of great temples, We enjoyed alot there, Very huge garden. Love to visit again there. We visited this temple which is one of the most beautiful temple dedicated to Lord Swami Narayan and is one of the most popular tourist destination. One can see carved artifacts, paintings, which reflects rich culture, royal history of Rajasthan. Good place to fall in lap of God where you can feel energetic and peace good place with beautiful idol This is the best place I have visited in India. It has lots of stone carvings and carved buildings depicting ancient deities etc. Their prices are NOT inflated and they sell the same product to locals as they sell to tourists. I have found most... Awesome.  Most beautiful and biggest temple compound. A fusion of different beautiful stone built. Intricate carvings. Camera not allowed inside compound. Shoes not allowed inside main Temple. So far, the best temple I've visited. Super love it! Beautiful Architecture with brilliant intricate carvings inside. Majestic structure! There was this heavenly feeling while inside the golden temple. I really felt relieved and at peace here. While inside, I was rotating on the floor... clean and beautiful but mostly for tourist
the fountains show was very nice
also the boat tour
the price was high It is one of temple of Swaminarayan sect..  Though it is not as big as temple in Delhi.  But it is good attraction. they dont allow camera and mobile inside as delhi akshardham mandir. visit here in evening. it is great pleasure. nice water and light show at 7pm Great place to visit in the evenings..Place woth visitng. It has Parking facility and fast food snacks.No entry ticket. Visited on a Sunday evening travelling good distance from our hotel at Amer Road with high expectation, but that didn’t fulfil. The temple is comparatively small and situated in a small ground surrounded by residential / commercial buildings. The architecture of temple is attractive and... You will get peace of mind here!!
Best thing to get inner peace and rest of mind here!
This place has something which cools your soul and freshens you!! The temple is so beautifully made and very neat and clean. One can virtually feel peace in the surroundings. This panth has created their own legacy in building huge and beautiful twmaplea across India. Be it Delhi, ahmedabad or Jaipur.... Each one is master piece. Added this tour half day, picking up several sites rather one. It was a good time to go and those people visiting the temple wanted to explain what was there and details of what was being celebrated over the coming days. This temple is small but it’s beautiful and calm. 
It has overnight stay facility and really moderate price and  Premvati restaurant on site which offers very tasty food at very cheap prices. 

Well maintained temple. Although it is not as great as the one in Delhi.But must visit this temple.We loved it and will come again This temple is quite small but it’s very beautiful and the atmosphere is very calm. We stopped here on route to Akshardham Delhi. 
We stayed overnight here and we had dinner at the Premvati restaurant on site which offers very tasty food at very cheap... I have visited here with my family, and we had an amazing experience to remember.
We liked light & water show here which was the best among all. not good as compare to delhi but decent place to visit if you are living near this area , as in jaipur distance is too much so for this visit its not worth It is a good Temple to watch in Jaipur. Comparing it with Delhi's Akshardham so it is not that Big but it has great architecture and design. I went many times here and every time i have some special feeling. It has different kind of stone which used here . I will recommend here to every one. If you have already visited akshardham temples in Ahmedabad or Delhi, you would find this one in Jaipur smaller as compared to others but the same reason makes it so much more attractive. There is no advance planning or booking required for a visit, you... Great place to visit in the evenings.Gives a festical loik.Place woth visitng.Parking facility and also for fast food snacks.No entry ticket.Great place Akshardham temple is fantastic temple of Jaipur .this Temple has wonderful architecture. This temple is so beautiful and also peaceful . Need 30 -45 minutes to see the temple. If you have seen Delhi temple then you can avoid it. Workmanship is okay. I saw this place in the morning so we didnt wait in queu too much. Be careful you cant bring your phone and bag to the temple. 
we enjoy more in 4 exibition about Swaminarayan. I recomment to visit if you have enough times. Good place for spiritual people. Nice place to feel peace/worship and to spend some good time in a nice spiritual atmosphere. Akshardham is a real hidden treasure tourist attraction, which is known for its beautiful architecture, as shown in the photo. You can enjoy with family go at evening One more feature in the hat of swami narayan construction. as all other this is also to be visited when in jaipur. the envioment is full peace , the soul feels relaxed as you just step into the premises. JAI SWAMI NARAYAN Akshardham Temple is one of the well-known tourist attractions of Jaipur. The temple is known for its beautiful architecture Very beautiful Swami Narayan Temple in Jaipur. Attractive Lighting, Green Lawns, Water Fountains, Vegetarian Restaurant, Conveniently located. Pretty ancient temple of India. I reckon i have seen a similar one in Delhi and both are enormous and show background of India. Akshardham temple is very attractive place in jaipur.I went there with my family. I felt so happy went there. its construction is mind blowing. can't explain in words.must go there Clean and peaceful place in a quiet location. It is very small compared to Akshardham Delhi. Closes at 12:00 PM and opens in the evening. check timings before visiting Akshardham temple is very good and awesome place to visit in jaipur. This is located at vaishali nagar, chitrakoot. you can go with your family and also with kids. A well architectured and beautifully maintained garden is a sole of it. A good place to chillout with friends and family. Though it is not so fabulous and giant in terms of infrastructure as compared to Aksher Dhaam of Delhi and Ahmedabad but have the... New temple in traditional style, quite amazing, no handbags or backpacks allowed inside, leave them at the hotel to avoid long lines at the cloak room, also no cameras or electronics allowed, for about 4 dollars they will take and print your picture with the... This Temple is Near Form My House And Always Come In Temple Its Really Nice And Beautiful Place . a Lovely Garden There Every inches of the temple,it's structure and architecture is a piece of work by almighty god himself. Really peaceful and heart touching view and beautiful carvery on the walls and miniatures are eye catching. A must visit place Swami Narayan Mandirs will display a great zeal of architecture anywhere in the world. Dont think of Akshardham delhi when u visit this temple. It is only 5% of the show there. But a peaceful, marvelous and splendid architecture you can witness here too. Get... wife took me there as she wanted to visit Akshardham Temple. Beautiful architecture as Name of the temple quiet famous around India. We enjoyed our visit to Akshardham but be warned it is not your typical India sightseeing tour.
 It has large chunks of a Disney feel to it, large screen film show, mini boat trip through indoor rivers & displays (small world style) & a very... If you have visited delhi or gujarat akshardham temple, This is gonna disappoint you. This is small compared to those temples.
They have a food court and small lawn as well. One time visit place if you have some free time. The temple, contain main idol of lord Narayan. This temple  is well-known because of the beautiful architecture that includes magnificent idols, lifelike sculptures and intricate carvings. Taking a tour from a modern temple, this spellbinding monument gives you the chance to spend your time between people and being merged into Indian culture Sad that they don't allow camera and phone inside, it's just magnificient ! I would advise you to go around 4pm to be able to do most of the attractions inside. The light show is great but it's better with people being able to translate... Akshardham Temple is good place to see as far other temple are more beautiful rather then jaipur Akshardham temple., If you wanna visit akshardham temple them must go to Delhi We visiting the Ashardam Temple complex in October. It was absolutely beautiful. There was an exhibition on the life of Swami Narayan which had an English or Hindi option. It is beautifully done. Following that we watched an informative movie and then watched the laser... this is very beautiful and peaceful neat n clean temple . so many peoples are visited daily, i am also visit regularly . temple is looking very beautiful . big garden and jain food restaurant here. easy to approach . A fusion of different beautiful stone built .the South Indian food in the restaurant inside the temple .I ly the place. Many tourist are come to visit this awesome place. Not like delhi akshardham, but if you have not seen it in delhi, Should not miss in jaipur. Architecture is wonderful in the temple, ambiance is also great. Also can find the south Indian food in the restaurant inside the temple. Finally if you visit... Magnificent temple premises. A fusion of different beautiful stone built. Intricate carvings. I felt so happy went there. its construction is mind blowing. can't explain in words.must go there. Temple is very nice to see...for all age of people..carving on stone here is done awesomely...Nice place to have. photography.. The architecture is simply stunning. The popularity of this place is more due to its architecture than being a temple. Its a beautiful building and as soon as you are inside the gates you feel a sense of peace and calm. Yes, it is modern. If you are looking for a 16th century temple, this is NOT it. But what it IS is truly incredible. How they built something on this scale with the beautiful carvings they did, defies belief. The cost of building this today... This place really gives you peace of mind. I suggest all the youngesters to visit this place with friends. Akshardham Temple is a very popular temple here. I liked the beautiful ornate design. It has calm vibes too. Akshardham temples are famous for their beautiful constructions, stone carvings and huge premises. Jaipur is no different. Akshardham temples are famous for beautiful construction , amazingly crafted idols and huge set ups. Located at the heart of city, the visit was refreshing.
It was much relief by finding a place which wear out your tensions and stress.
The green arena infornt of temple help you to reach to a new level of calmness. Indian trend and history with easy view and refreshing feeling wonderful achievements in world history which bring India more forward and active. This temple is really beautiful and its really a modern temple in modern era ,this temple is also known as Sawmi Narayan Temple,This temple should be in jaipur local sight seen like birla mandir It is a Swami Narayan Temple, went there in my recent visit to Jaipur.  It is newly constructed temple.  So far it is less crowded. If you wish to visit a modern temple in Jaipur & enjoy the bliss you must visit this temple in the evening. The akshardham temple is really amazing, we visited this temple becuause our hotel was very close to this temple. Akshardham ( Swaminarain Temple) is one of known temple in Jaipur situated in Vaishali Nagar in residential area. Conveyance connectivity is always available there.Beautiful place to spend time with family or alone. Having good architectural style with ample of space, Parks etc with all facility... We toured this amazing site as part of a group.  Appreciated the historical significance and stunning architectural properties.  Another wonderful site in Jaipur. 
Remember to leave all of the usual gear in a safe location back at hotel to be able to miss the long... is not as big as of delhi,but its fun.Clean and beautiful,it feels nice being here,I go often,I like it a lot and spend really a good time here.Very peaceful. It is a must go in Delhi, but the temple has a feeling of being built fast and for commercial purposes. It is difficult to explain. It is a new temple, but it is not this fact that makes it ""artificial"" in my opinion. You... this temple is really very huge, clean and nice, very well oranganised, We love the atomosphere here. I along with my family had visited Akshyardham temple at Jaipur on 12th Nov 2016 during our holiday trip to Rajasthan. This is located at Vaishali Nagar. The temple is gorgeous with modern architecture. This temple has idols of Swaminarayan along with Radha/Krishna, Ram/Sita and... U may find a lot of historical monuments in Jaipur which are famous for their architecture. But, if you wish to see modern day structures with jaw dropping architecture, it is the best place in Jaipur. This temple is dedicated to Swami Narayan Ji and... This temple is situated in Vaishali nagar, our hotel is also very close this temple, Very well maintained. Akshardham, hgaving already visited in Delhi and Ahmedabad, there was no surprise element. The Delhi structre is most beautiful Located away from the city, architecture of this temple is really awe-inspiring. A calm atmosphere through out the temple premises, this is a place where you can sit hours after hours doing really nothing but enjoying the solitude among the hustle bustle of the city.... Its Temple and if you are interested in Architecture and Temple  
This is good place to Visit
Its religious Value too for Hinduplace for Indians

Must Visit This temple is such a beautiful temple with beautiful and intricate designs which are very appealing to the eye. Also it is such a peaceful temple which is amazing compared to the rest of the noisy city so a perfect place to find your inner... akshardam temple is located in modern part of jaipur and is very modern & very nice with a especial architecture.here is a place for relaxing and paceful.i highly recommend to visit this temple. Enjoy visiting with friends and relatives; a great place. Excellent feel you get visiting temple and museum.Great to visit in the evenings after sun set. Location is good and parking is available..A place every one would like to visit It's one of the many temples built by the BAPS Swaminarayan Organisation, a socio-religious organisation. The temple is based in Vaishali Nagar. It is well managed and has wonderful gardens. The Temple usually referred to as Mandir is built in Pink stone and in Nagar... a very good temple . near vaishali nagar , good horticulture is there clean and again a clam place so many path ways to walk around . must visit . Unlike most of the tourist, we did go to the temple at nighttime. It was much better than daytime - only a few tourists, and a spectacular watershow. We thought we went to this show because we did bring our doughter and we did think... Aksharham temple is very beautiful temples in jaipur , situated at mid of vaishali nagar jaipur, very big gardens , Jain food restaurant . the excellent view of temple at night. A must see when in Delhi. Was my favourite site and so beautifully designed that it will take your breath away. Go when it's not too busy as the cues can be long. Don't bring any goods with you as the security is strict with... Went on Golden Triangle tour of Agra, Jaipur and Delhi. Had a good Family time, Travel was as promised. I have visited this temple with my friends.It is very beautiful architect and design temple surrounded by full of greenery . akshardham temple in jaipur is far behind in comparison to delhi or ahmedabad akshardham temples. still need a lot of construction and improvement. An impressive temple. It is quite new so don't expect any ancient buildings. The best time to visit is before the sunset, as there is an amazing light show in the evening. Ideal time to visit this temple is in the evening, when all lights are on and you see the beautiful divine temple. Gardens outside are very relaxing. You ahve a lot of eatery options too these days. This place is well connected in JTDC Jaipur tourism development corporation , we visited this place via guided tour this temple is sitting at its mammoth scale  , its very peaceful and cheerful at the same time . This is a much smaller version of Akshardham temples. Its well maintained and clean. Quiet and Calm atmosphere prevails inside. The architecture is stunning. Must visit. This temple is really very huge, very very clean and very well maitained, worth to visit this temple. Early morning or evening are the best time to visit this beautiful temple. A must visit on Sunday where you can attend Satsang and Kirtan with saatvik meals. Begining of October, I visited Akshardham Temple in Jaipur.  Although it is very small in comparison with Delhi but the architacture is very good.  The surroundings and the temple area itself relaxes the mind and body.  Just sit there for 10 minutes and refresh yourself. As beautiful and grand as it can get...its a new temple but very much worth watching...a family trip is more suitable.. it was evening time when i went to the temple .. the architecture of temple is just awesome and the evening scenerio with the lights was great ! It is a temple built in modern times with old architectural style. Spread in 5.5 acre area the style is unique because it is blend of many styles. It is predominantly built in Nagar (Northern) style. There are three garbhgriha with main garbhgriha placed in... Unlike other temples in the city, the Akshardham temple is magnificently built keeping upto the bench mark of other Akshardham Temples in various cities. This temple was built simultaneously with the Akshardham at Delhi. Material that was to be used at Delhi temple but could... Build in red stone. Huge gardens inside the temple premises so one doesn't have to worry about carrying along children. What's more, you also have a restaurant, the prices of which are truly reasonable. Due to these surroundings, you can spend more than an hour... Another magnificent temple worth visiting at least once when in Jaipur. In the chain of these temples it is another effort in the service of mankind. Lot of charitable works are going on here. The temple has marvelous stone carvings which leaves one spell bound.This place is indeed very peaceful. It has a small garden with boundaries for walking/jogging.The atmosphere is serene and calm I have seen many Swaminarayan Temples and this one is no different. It is soothing and calming with soft kirtans playing in back ground makes it worth spending time at this place.

When we visited, we participated in the aarti and got blessings from saints... It is beautiful Temple of Swaminarayan sect.Best for local people to walk around in the lovey garden.They have small restaurant serving vegetarian food and snacks.
They have accommodation also available for pilgrims/gujarati tourist followers of Swaminarayan sect. This is leading Religious attraction of Jaipur. Akshardham Temple is a part of tempe chain of Swaminarayan Sampraday. The temple is dedicated to Narayan-Lord Vishnu. Akshardham Temple provides real gilmpse of Indian architect, Cultural heritage and sculptures of Hidu God. A Nice visit. Situated in the posh locality of Chitrakoot in Jaipur, Akshardham Temple is a must for anyone visiting the pink city. Its wonderful architecture and impeccable upkeep makes it unique in the places of attractions in Jaipur. The atmosphere is serene and calm. Akshardham Temple situated near gandhi path, vaishali nagar, The temple is known for its beautiful architecture, magnificent idols, sculptures, and carvings. and is dedicated to the Hindu God, Narayan The temple has marvelous stone carvings which leaves one spell bound. The park in the temple is a famous picnic spot. It is recommended to visit the temple during evening so as to escape the scorching heat of the sun. beautiful architecture gives a very peaceful feelings, massive greenery. The place also has pure veg Jain restaurant, very reasonably priced. One has to walk alot, basement of the temple also has a gallery which one must visit. It is a brilliant architectural marvel that gives you lush green spaces to walk and enjoy peace and calmness and to connect with your inner self. It gives you a fantastic laser show and some other fantastic attractions too. Beware!! It needs a lot of... Very much in city a great location felt very good sitting in the teple for sometime a must watch in jaipur Reading reviews on trip advisor, we got information on net that it opens daily from 9 Morning to 6 Evening. Accordingly we reached there about 1 PM. But it was closed.  It is not open for public between 12 noon to 4 afternoon. Visit with kids. Kids will really enjoy the garden around. A good temple to visit. Photography is allowed to capture moments. It is the first Akshardham temple, where I click photos of my family. Gandhi Nagar and Delhi Akshardahm temples restict camea as well as... On our visit in December we visited this amazing place of worship and were totally mesmerized with the architect of this place.
The boat ride with a  history of Indians was very informative, the film & shows opens our minds to being with peace within... An amazing complex with so much to do. The Temple is phenomenal, stunningly beautiful with so much detail. The film, show and boat ride were an added bonus and gave much information. The laser/water show completes the day. I think it was in Hindi so... amazing ambience in temple.. the construction is gorgeous.. and u really feel at peace. 
nice place to spend time with family in jaipur a very spiritual place ""Swami narayan mandir ""situated in chitrakoot adjoining vaishali nagar .beatiful statues of all gods and godess are amazing .A wonderful experience .plz do not miss . Very nice environment in temple. Built very beautifully. Have Indian vegetarian Food to buy. You can eat there or take away. Very reasonable price. Recent construction with excellent carvings with lush green lawn. One good place to worship and spend time with family This really is a must see if you are visiting Delhi. Set in vast grounds with lots of statuary, formal gardens and water features, the temple really excels once you get inside. No photographs are allowed but the stunning decorative arts will be imprinted on... This place is at a walking distance of 20 minutes from my place. Have visited it several times. It is quite spacious and can accommodate a good number of devotees. There is greenery all around, with well-manicured lawns and plants. It also houses a small... This place is indeed very peaceful. It has a small garden with boundaries for walking/jogging. And a pure veg jain restaurant at reasonable price. Temple is always very neat and clean and a pleasure to visit. Beneath the temple, in basement there's a gallery which... yes!!! this temple in jaipur is really amazing, the wall of this temple designed very well & no wall is similar  to other wall .......... :) While our stay in vaishali nagar a friend Suggested this beautiful temple. 

This has Small landscape with beautiful garden, intricately & beautifully carved temple. Extensive carving on the stones is worth admiring. The way neatly it’s kept is creating the warmth and tranquility. 

It was... This beautiful tranquil temple is a real hidden treasure in the heart of Jaipur! It is one of the most intricately & beautifully carved temples in the city and it is definitely the cleanest and most well run. It sits on stunning and well manicured...",26.902235,75.740735
