city,place,review,Latitude,Longitude
Udaipur,Ambrai Ghat,"Well this place is situated on banks of puchola lake  the best tym to visit this place is at night as u can get to see the beauty spread over this lake of jag mandir taj lake palace  etc It will give you splendid view of Lake Pichola and City palace, insanely awesome in the evenings as less tourist, locals groups singing guitar based songs and vast space to experience calm waters. Must Go! One of the best ghats in Udaipur. Very peaceful and serene! Just sit there and relax. Of course the sunsets are worth it. Ambrai Ghat is on the other side of the City Palace. People come here to watch the sunset and then the lighted city palace. This place is really peaceful and is highly recommended for everyone. the view from this ghat is spectacuat with the whole city palace, jal madir etc comng alie at night. all the major 5 star hotels are located close to this. it is a great place fro some photoshoot. The view can't be explained in words. It gives you the city palace view and the Lake palace view. It's just heaven on Earth. Ambrai ghat is right opposite the city palace. From here the view across the lake pichola is mesmerising particularly amidst lighting in the night times. The lake looks pristine with boats floating along. Excellent view of lake palace and jagmandir palace also is available. Access... Ah, wat to say . It just felt splendid soaking up the setting sun amidst backdrop of aravalis n then witnessing lights pop up n lightning up the majestic Taj palace in the midst of water , lake palace just opposite etc. It's like once... In the evening time at this place I felt cold breeze slightly touching and kissing my face.
Great place and the view is obviously very awesome. You will see a beautiful city of ancient types structures and some great lighting. its a beautiful outcrop on Pichola lake.
one is privileged to most memorable views of the city palace. there is beautiful graffiti of lord shanker. The aura around this place is breathtaking. Pigeons feeding on the grains that tourists wither and the local musician playing on his percussion instrument just adds to the vibe of the place. Really fine and intricate architecture at the gates and archways. Looks really pretty... Can be hard to get to by car but easy by tuk-tuk or worth the walk. Lovely place to get a panoramic and iconic view of city palace, and to sit for sunset on other side. In case you wish to unwind and dine by the lake this is the place to be. Average food, slight on the higher pricing. Opposite the City Palace, this ghat is located at the bank of Pichola lake. A real MUST,  it is an extraordinary, splendid place to sit down and admire the glamorous view at sunset or sunrise Don't expect too much from this place. It offers nice view of the lake in evening and of Taj Lake palace. Reminds of any old city like Benaras with its ghats, in need of repair. One has to pass through narrow lanes to reach this.... famous ambrai hotel is here with famous restaurant because of the view. Can spend some relaxing time here. For the most memorable views of Udaipur, take in the views from Ambrai Ghat at sunset, and even after. Enjoy a meal too at a restaurant there. Gorgeous views. Go around dusk to see the beauty of Udaipur and hang out and one of the restaurants with a view. Just let the time go by and keep looking at the amazing views of the palaces (Main and Lake) are absolute stunner! Have been here at 10pm at the night and 6 am in the morning so there was hardly anyone around and the peace... Romantic Place with beautiful view of the lake - good for couples

Its a great place to view and when i went there it was raining and became more romantic and looked more attractive.

Good place for photo shoots for wedding photography and Ambrai ghat... Ambrai Ghat is a great place to see lovely views across Lake Pichola. It is also a meeting place for locals, who gather to sit and chat or listen to music. Ambrai ghat is just opposite to the Gangaur ghat. There are many restaurants and palaces which offers candle light dinner with the view of lake pichola. Just confirm about there prices before visiting there as they are expensive. Ambrai ghat is well maintained and the... The Ghat is a great place to see the sunset and well worth a visit at that time of day. There is a small temple which has prayer services at various times during the day. You also get a fantastic view across to the City... ambrai ghat was a pretty unexplored place till 3-4 years ago but now it has developed for good. it offers the best view of the city palace and lake palace. Do visit Ambrai  ghat at night if you want breathtaking lake views. Get pictures clicked with your loved ones. The view at night is just unforgettable and very romantic. Udaipur is all about the lake view and no place offers better view of lake than... It is a must visit place if you are in Udaipur. The front side gives you the view of City Palace & the lake side view whereas the backside gives you the view of mountain, udaivilas & sunset.
Preferabble time would be going around the... A little off the beaten track and therefore less frenetic than the other side of the lake. A good place to mix with locals as well as tourists. The best place to spend evening/night in Udaipur. This Ghat gives you an alluring view of surrounding architectures and the lake Pichola. One can sit alone or with friends or family and spend some peaceful time enjoying the beautiful view. Generally it is crowded, but... The place is so calm where you sit beside the lake under the sky full of stars and catch a mesmerising view of the palaces lightened up! What made our experience better was a guy who was singing melodies with guitar, it was a trwat... One of the best places to visit in Udaipur. Awesome scenery and fantastic view. Must visit when in Udaipur This is such a lovely local spot where you can first watch the sun set, then go to the other side and watch the lights on the City Palace and Lake Palace being turned on . We started chatting with few people there who were... go there in the evening , go alone or go with friends or with your love, the view is beautiful, beautiful lights , water , and awesome vibes. It is well worth an early morning walk past the Ghats where you can see people washing themselves and cleaning their clothes. The area arould the Ghat has some lovely building. awesome Experience Lake Side Dinner, View is Simply Awesome, Pocket wise not suggested Bit Costly , If you go there better make prior bookings for comfortable dinner, Ask for lake side table. This is the main ghat situates nesr the waterfront of Lake Pichola. Conveniently located and a great place to have a view of the City Palace and have a break. Wonderful n beautuful place for photography, u can view all attraction areas like City Palace back side, lake palace hotel, udaivilaas hotel from very close, Ghat is covered by Lake from 3 sides which gives great look.must visit area. It’s perhaps one of the best views of the palaces of udaipur and the old city. It’s free and reaching this place takes you thru the streets of udaipur old city. It’s not crowded so weather permitting you can spend a lot of peaceful time... Such a relaxing and photogenic spot. Little tourists. Looking across the lake gives views of Udaipurs main highlights. Get ready your favorite music list and enjoy the breeze of atmosphere.The best time to visit this ghat is after 8.00 pm to enjoy the ambient view of city palace,lake pichola,lake palace.There are many food joints but if you really want to make a memory... This ghat has good views of the city palace, lake palace and Bagore ki haweli. The place has good eating joints where you can enjoy dinner with view of the lake. Great place to go to, donot miss this place at all, experience the inner self, calm ness and beauty at this place Ambrai Ghat is a jewel of a place in Udaipur. It is a must visit at night, when the City Palace lights up as one can see its reflection in Lake Pichola. The view is simply majestic. Be careful to park your car at a... Mouth Watering Food and Excellent view....little slow on Service. Jetty service also available from Leading hotels. Avoid taking taxi as approaching Roads are very small and crowded This place is must visit place. The best place to sit and relax while enjoying the magnificent view of Lake Pichola. I bet no other place would offer this type of view in entire udaipur. Amazing location. Ultimate experience. Beautiful place. Rejoice minds. Specular place, water rejoices eyes, cool breeze cools mind and brain. A superb place to rejoice minds. A very nice place to go in the evening and for the swimming in the lake.a very nice place to go to sit quitely and peacefully This place explains why Udaipur is called the Venice of India.The view at sundown is mesmerizing. The lights from the City palace and all other monuments reflects in the clear water of Lake Pichola. A visit here is worth remembering. A super spot to visit at dusk as thousands of bats take wing over the lake and alight at the big Ficus at the ghat. Incredible view. The ghat of Ambrai in Udaipur ~
The ghat is located just beside the restaurant Ambrai and the approach is also near the same.
We went out for a dinner at the restaurant while we heard some people singing in chorus near the ghats. 
Out... It certainly owns a spot for the best place in Udaipur. The sunset view from here is mesmerizing. It has a much better sunset view than the monsoon palace. Ah, wat a heavenly bliss a place it is .. nothing much to drool about with Ill kept ghat n staircase n the adjoining area due to government neglect..

But visiting it at evening time , just when the furious sun sets , then the... Ambrai ghat is a very beautiful place where one can spend his time by just experiencing the beauty of nature. The ghat is surrounded by water from its three sides. It gives an amazing view of lake pichola and city palace from Ambrai ghat and... Good views across the lake to the City Palace.  Less people and less hassle from people trying to get you to buy something.  
Was mostly a locals scene when I was there at sunset.  
Definitely worth a visit.  Ah the serenity The place is very good for a nice evening walk. The cool breeze flowing and sounds of water is soothing to mind. Had a good time. It is place located in the middle of the city surrounded by Lake Pichola and mesmerizing view of City Palace on the front and Lake Palace on the right. 
will love to visit again The Ambarai restaurant situated beside Pichola lake is worth for its food and beautiful view . The minu is also varieties , dishes are awesome but a bit costly .
You can prebook seats exactly at the edge and can enjoy dinner in candle 🕯... In the it’s best to come here and enjoy the lovely eve as u see city palace lighted in front with its glare on the lake and cool beeze from the lake is lovely We had visited this place located on the banks of the Pichola lake during our trip to Udaipur. We were staying in Hotel Kotra Haveli near Jagdish temple and had walked for 10 min through narrow bylanes and crossed a bridge over Pichola lake to... Ambrai Ghat, on the Lake Pichhola is a perfect place to visit in the evenings, with the beautifully lit restaurants and hotels across Lake Pichhola and the perfect breeze blowing across. Though bit clumsy but the evening time view is excellent which is surrounded by the top Lake Pichola Hotels and restaurants. The view from the Ghat is nice one and tourists can spend ample time in this ghat. Compared to Gangaur Ghat, Ambrai ghat is less crowded and gives magnificent views of lake palace in morning and evening.

A photographer's delight. Nice Ghat , located close to lake , quiet place to chill and relax and get a calming influence looking at the view of lake ! This Place is More Famous with Local resident and Those who knows about this but ofcourse I saw some foreigner too but mainly it;'s local..A small temple is there on the Ghat and The View By evening or Night is super awesome...
Must Visit This... Ambrai ghat is nice place; full of natural beauty and surrounded by water.Its wonderful place of mind freshing As I write this review I am walking down the memory lane. Don't know where to start and what to write. This place offers breathtaking view in the evening during the sunset. I don't think I would be able to describe it in words. The... I was searching for shooting place for the movie Ram Leela and came across this place which gives a lovely view of Lake Pichola along with the Jag Mandir palace, Lake palace hotel, city palace, Bagore ki haveli and Gangaur Ghat from one corner to... This is a very understated place - a small temple hidden away, some wall art, a small garden and a small kiosk selling food - all in need of some maintenance.  There are also some small Ghats in which people come to was themselves and... This ghat remains less crowded as compared to Gangaur ghat (gangaur ghat is near Bagore Ki Haveli or City Palace). There is a garden in the middle and many concrete seats to sit and enjoy the view. The view of City Palace of Udaipur is... Never heard of this place or found in ""places to see in Udaipur list"". But if you miss to visit Manji Raj ka Ghat/Hanuman Ghat/Amrai Ghat, you will miss the 240 degree panoramic view of City of Udaipur. This Ghat is located on the bank...",24.5777259,73.6799321
Udaipur,Ahar Museum,"Ahar has a glorious four thousand years of history, even older than the Harappan civilization. In 1951-52  the Archaelogy and Museums department began the excavation of Ahar. In 1960-61 the department collaborated for horizontal excavation with the Deccan college, Pune. Records claim it was an... Ahar is our ancient civilizations approx 4000 years old. Its good to have museum of it, a big portion of land is preserved for it there. Ahar museum is museum of all things of 4000 years old Ahar civilization. its small place but I feel proud to be there. The exhibits in the museum dating back to the stone age, metal age (iron, copper) were interesting to observe along with the history of excavation in the nearby area. Also the various forms of miniature paintings displayed there was outstanding and of particular help to... This simply laid out museum close to the collection of royal cenotaphs holds a collection of palaeolithic and neolithic material and a good collection of sculpture, both labelled in English. Then there are 3 rooms of lovely Mewari miniature paintings to accompany stories. Unfortunately there... 4000 YEARS old civilization is a great great important thing , thing of great wonder and value , but unfortunately not enough is done to restore or display. The desire importance in not extended to these valuable treasures. But yes one should visit this ,... No route maps no person knows where it is... Probably closed ... Dont take effort of finding it.... I tried and spent complete 2 hrs searching it.... Its just wake way from Ahar Cenophats. We have visited in afternoon. They charge Rs.10/- per person. In the first part you will find Shri Krishna Charitra in the paintings and in second parts they have some good and rare collection of the (Gods murtis)... The Ahar Museum makes for a great afternoon. It's a little off the beaten path, but if you're near the Centographs it is 5 minutes away. 

The Museum houses some cool artifacts taken from a nearby archaeological site. It's a no frills type of museum,... This museum is located right next to the Ahar Cenotaphs and is a small single story structure. The museum is divided into two parts- one part displays the findings from the diggings in the neighbourhood where remains of settlements from the Paleolithic period onwards were... The collections are less and information is not specific. They have just categorized the artifacts and nothing much. 

You should head to Albert Hall Museum for a much informative and lavish collection. This is a very nice museum to visit. This place has a large collection of artefacts and sculptures. Must visit. This museum is situated near Ahar Cenotaphs. It's not visited by travellers much but is a great aid to know about history. Its well maintained inside but exterior and facilities needs to be spruced up to restore charm of this place. Not many people know about this place but it is worth revisiting the history. Though it is not that well-maintained, but we liked how people in mesolithic age lived with pottery artefacts. The Ahar site from where the things were unearthed is closed to general... Ahar is approx 2 kms away from main city and the Museum is one of the important place to visit. The Museum got rare collection dated back to 1700 BC. Its got excellent terracotta artifacts and other stuffs. ahar museum is a historical palace. history lovers can watch it . outside from main city .
overall one of the good museum of udaipur. There are few artifacts and some sculpture of an excavation visit. Entry fee is 20INR and can be combined with Ahar centotaphs which is a stone throw distance from the museum Very nicely made sculptures are the main attraction of this museum. The staff was also very helpful in explanations about the history of sculptures. Nice museum. 
Graphics story of Radha Krishna mention by ancient Indian poems.
Such nice pencil drawings.
So much information about ancient world.
Also such ancient Hindu - Jain Statues are there.
Overall nice but not mention on Udaipur tourist spot.",24.5863488,73.7213849
Udaipur,Animal Aid Unlimited,"One of the most organized and memorable trip!  
I agreed with the other comments, should spend more time here if you can. 
It is a very well organized place. We are Shona round by volunteers and met a few friendly volunteers as well. 
A must... Spend a few hours there to pet some paralysed dogs and feed the animals. I would recommend anyone to spend more time here as the dogs seriously need your attention. When we pet one dog another seen growling and craves for our attention. As they... A brilliant chance to break away from that temple you're idley shuffling around that looks the same as the other 400 you've seen this week. The initial walk around with a volunteer takes you to each of the sections and explains what stage the animals... Found this place by accident (scrolling trip advisor for something to do for our last few hours in Udaipur) we turned up having sent a message on Facebook a few hours earlier to check opening times and it was a great experience we’re so glad... If you go to Udaipur make sure you visit this place.  The work they do for injured animals is fantastic.  They care for dogs, cows, donkeys, goats, sheep, chickens.  You can just go for a visit or you can volunteer if you want to.  The... My wife and I have been following Animal Aid Unlimited online for a while now and have wanted to come and visit this amazing sanctuary and met the hard working founders, employees and volunteers that have given their life and time to these animals. We... The work the people do for the animals here is inspiring and it is an absolute pleasure to have volunteered alongside them. You are able to interact and socialise with the handicapped dogs most of which have the most severe injuries, you are also able... We only stayed for 1 hour because of other plans, which is my only regret of this experience, I could’ve stayed for hours. The work they do is inspiring and heart warming, all of the animals look so happy and well cared for. My husband and I visited beautiful Udaipur in October, 2018.  We spent three days at Animal Aid Unlimited.
It is very hard to put into words what we did and saw there.

But to put it in a nutshell, India has beautiful natural wildlife and... I had a tour around this animal refuge and it was inspiring and heart-warming to see all the work these amazing people do. Every animal is given a chance here, including the dogs who can't use their back legs so have 2 wheels strapped onto... 10-15 minutes outside Udaipur by tuk tuk Animal Aid Unlimited is a ray of hope for sick and injured animals in Udaipur who have little hope.  You will receive a lovely welcome when you arrive and there is no need to book ahead.  Tours around... i have made several donation to this charity, 3 friends of mine have been there to inspect and view the organization, they are truly angels. god bless you all for all you do and thank you I must say its best place in Udaipur for peace of mind with loving animals, Animal Aid Unlimited are doing a fantastic job in providing shelter to abandoned and injured animals providing them treatment and food and mostly specially love. My 5 year old daughter... This is an animal hospital rescuing and treating ill or wounded street animals. They are doing wonderful work and it is well worth visiting as you are able to get very close to the animals, petting, treating, exercising or simply just pouring love onto animals... Animal Aid Unlimited, this one is such a heart touching place. proud to visit this place. i will suggest every one to visit this place once in you life. such a nice place. cant explain in words. Saw this place advertised in local coffee bar so had to go.
Rachel showed me round,very kind and dedicated.
To see the paralized dogs with their homemade vehicules was truly magic.
A vet was operating on a cow when I was there, hope it was... Heart warming, eye opening, uplifting. Open your heart and share your compassion with the beautiful and needy animals that are here. I had visited about 2 years ago and fell in love with the animals.  I returned to spend 7 days with this great group.  There are so many volunteer opportunities from feeding the paralyzed dogs and the calves, to giving therapy to water buffaloes, dogs,... I thought I'd be sad going here, but I couldn't help but be cheered up by all the animals so happy to be so well cared for by the amazing volunteers. Well worth a visit. I'd highly recommend it! So much great work is being done here. Sick and injured animals are receiving exceptional care from very caring and compassionate people. This centre is well worth a visit even if you only have a few hours to have a site tour. Even better if... India is an old country, with a rich history. But if you're doing a tour (self guided or otherwise), break up the monotony of ""fort, palace, temple, repeat"" with a meaningful visit to Animal Aid. Plan to spend at least 2 - 3 hours, +30minutes... Our family went out to Animal Aid (about a half hour tuktuk from town) initially just for a visit but were so overawed by the experience that my teens and I went back the following day to help out for a few hours. This place... If you are ever in Udaipur you really need to visit Animal Aid Unlimited, even if it is just for a few hours.  I came away feeling the full force of the love that Erika, Jim and their wonderful team give to every animal that... This was the best and most memorable part of our trip to India. I wish I could have stayed and volunteered on a daily basis. The work they do and the incredible care these animals get is just amazing. Yes, you will see some sad... Wow! My husband and I visited this week and it totally exceeded our expectations. Animal Aid are doing some amazing work to save and support the animals in the Udaipur area. This is a sanctuary and home for sick, injured and healing dogs, cats, pigs,... As a animal lover this is one of a best place to visit as it gives u moments worth remembering with all those rescued animals and the people working there it's a place where u can never be sad because of the aura of love... I have supported this charity for a couple of years having found it whilst arranging a holiday to India, so a trip to Udaipur and a visit to Animal Aid Unlimited wasn't to be missed.  When I arrived I was truly gobsmacked. The amount of... As a first time traveller to India, I found the situation with animals particularly distressing and felt helpless at the plight of all the strays, especially dogs. We visited here and I came away with a sense of hope and admiration for all the good... The people running Animal Aid really love their work and the animals they help, and it shows.  Volunteers are welcome (arrange that ahead of time) and invited to feed calfs, comfort and socialize recovering dogs and puppies, brush donkeys, and lots more. Had the privilege of visiting Animal Aid while on a tour of India with VegVoyages and VegNews. First of all, the owners and staff are incredibly amazing, beautiful, compassionate, down to earth, friendly, awesome people! The care they provide for their animals is exemplary and... Spent most of the day crying seeing so many injured animals but you have to remember this place is a GREAT place, doing so much good work for orphaned, injured and mistreated animals, mostly cows, dogs and donkeys, but they will pretty much help ANY... I went to Udaipur only to volunteer at Animal Aid and this is the best thing I've ever done! It's an amazing place with wonderful people and a lot of animals! I loved it and will definitely go back. Wonderful kind and loving people run this amazing place in Udapuir. Dogs cats donkeys cows and even birds are all treated equally with care and kindness. Each life is valued and staff at the shelter nurse and tend to all injured animals that are rescued... I travelled to India specifically to volunteer at AAU. As an animal lover- it was very difficult to see all of the street animals. Seeing the sick and injured animals at the sanctuary was heartbreaking but knowing they were getting care and love was uplifting.... We rented bikes in Udaipur and cycled to the centre for a quick visit. Was a beautiful route through countryside and was lovely to get out of the city. The centre itself was run so well and it was so obvious how much the staff... Amazing place. They take care of injured street animals with a lot of love.
Some animals are to injured to go back outside, such as paralyzed dogs and they stay there forever. They need volonteer even if only for some hours. You can come and... I sent the best 2 weeks of my life at AAU. I left my heart behind. Staff are wonderful. Nurses are increadible and so very clever. The wonderful care and attention that is given to each individual will fill you. Compassion and care that is... Our family spent an afternoon at Animal Aid yesterday. For all 3 kids it was an absolute highlight! The impact that these people are making on the injured, abused, abandoned and sick animals of this city is heartwarming to witness. Currently they have over 700... We went to Udaipur mainly to visit Animal Aid and it was definitely worth it! Take a tour around to see the amazing work the Animal Aid workers are doing and if you feel up to it, stay longer and volunteer, no matter if for... We have no idea how this has managed to slip past so many tourists traveling to Udaipur. Whether it was the puppies, dogs, cows, goat, sheep or chicken volunteers were needed, stories were told, and so many emotions were shed!

India is need of people... I was a bit worried to come, seeing all the dogs around the city really upset me. But this place was beautiful, the animals are so well taken care of and loved. They all know their names even though there are over a hundred! The... Lovely place managed by lovely people. When our tour company recommended us about  this place, we were a bit skeptical. We have heard of all those bad stories of animal abuse in Asia and never wanted to be a part of them. 
Our agent assured... I have been to visit Animal Aid many times now. It is a wonderful haven for animals in Rajasthan. The work that Jim and Erika do is simply incredible. If you like dogs, cows, ect it is a wonderful opportunity to show them some love... My husband and I visited Animal Aid one morning during our stay in Udaipur, and we are so glad we did. During our travel in India, it was very hard to see all the cows, dogs, donkeys, and other animals in such poor conditions. Animal... What an amazing experience. Such a well-run and uplifting place. I loved how the staff include you and there’s something for everyone. My souls felt lighter and full of hope after visiting. Thank you Animal Aid. Highly recommended. Its a must do if you love animals and even if you dont.This is the place to go to to experience selfless love and total oneness with nature and all its creations without any discrimination. It was our first time in India and as an animal lover, I had been very disturbed by the plight of some of the animals we’d seen living on the streets. I felt like I needed to do something to help but was unsure what.... Visited this place in July 2019 while staying in Udaipur. Was given a very informative free tour and allowed to spend our 30 minutes after the tour with baby cows. One of the highlights of our trip in India :) We visited the shelter today in the early morning before leaving to Jaipur. We could cuddle the baby cows (which are incredibly sweet!) and the handicapped dogs. It was a lovely moment, the baby orphaned cows loved to be combed. This shelter is a small... This place is nice and it’s made amazing by the people working here and taking care of the animals. They have such a great compassion and care for them that your heart melts. Keep up the good work people, kudos and more power to you. My partner and I went to Animal aid to volunteer our services for a day after we saw a poster in our hostel advertising it. We got a tuk tuk out there (roughly 20 - 25 minute journey from old city) and joined a tour... These ladies are doing a job that not many would take on. Kudos to them for their efforts in helping the animals that so desperately need help and care! Never bothered with Trip Advisor before but thought id make the effort for this place. Tucked away on the outskirts of Udaipur but very accessible, this places rescues and treats animas who urgently need care and then some love.  Staff are visiting local schools to...",24.6314957,73.6367816
